Shipment ID,Order Date,Shipment Date,Actual Delivery Date,Origin City,Origin Country,Manufacturing Site,Destination Country,Destination City,Chosen Route Name,Distance (km),Customer ID,Service Level,Product ID,Product Category,Shipment Content Type,Packaging Type,Packaging Efficiency,Line Item Quantity,Unit Price (USD),Pack Price (USD),Line Item Value (USD),Weight (kg),Volume (m³),Billable Weight (kg),Shipment Mode,Transporter Name,Carrier Product Fit Score,Expected Delivery Time (Days),Delivery Time (Days),Delay (Days),Avg Speed (km/h),Halt Duration (hours),Route Deviation Factor,Weather Impact,Customs/Border Delay (hours),Route Congestion Factor,Seasonal Cost Factor,Seasonal Delay Factor,Proposed Freight Cost (USD),Actual Freight Cost (USD),Cost Per Billable Kg (USD),Price Variance (USD),Price Variance (%),Carbon Emissions (kg CO2),Status,On-Time Delivery,Cost Outlier,Shipment Month,Shipment Day of Week
SHIP04218,2024-01-20,2024-01-22,2024-02-18,Gurugram,India,Gurugram Mfg Hub,Gurugram,London,Air/Sea Route LDN,6700,CUST023,Standard,PROD0100,Consumer Goods,General Goods,Pallet,0.02,242,78.91,79.02,19096.22,549.3,7.992,7992.0,Sea,Maersk,6,33.8,27.3,-6.5,19.1,6.6,1.58,None,0.0,1.2,1.05,1.1,33816.29,42899.55,5.37,9083.26,26.86,847.45,Early,Yes,False,1,0
SHIP04219,2024-08-23,2024-08-25,2024-08-30,Gurugram,India,Gurugram Mfg Hub,Gurugram,Singapore,Air/Sea Route SIN,4000,CUST048,Critical,PROD0083,Consumer Goods,General Goods,Pallet,0.13,462,104.84,106.08,48436.08,6304.56,87.418,14598.806,Air Cargo,Maersk,6,2.8,4.9,2.1,569.3,5.3,1.03,None,52.7,1.0,1.05,1.15,1100147.53,1165484.73,79.83,65337.2,5.94,48123.72,Delayed,No,False,8,6
SHIP04220,2023-08-05,2023-08-07,2023-11-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST036,Standard,PROD0089,Consumer Goods,General Goods,Carton,1.57,433,105.53,105.77,45694.49,4544.18,34.079,34079.0,Sea,Maersk,6,45.5,91.1,45.6,11.6,25.1,2.1,None,31.7,1.4,1.05,1.15,213996.63,277522.58,8.14,63525.95,29.69,7145.27,Delayed,No,False,8,0
SHIP04221,2023-03-21,2023-03-21,2023-03-25,Gurugram,India,Gurugram Mfg Hub,Gurugram,Jaipur,NH 48 Short,300,CUST026,Standard,PROD0071,Machinery Parts,Heavy/Bulky,Carton,94.75,6,3136.73,3172.83,18820.38,2214.28,28.424,28424.0,Sea,Maersk,9,1.3,3.8,2.5,28.9,0.4,1.02,Minor Rain/Fog,59.8,1.0,1.0,1.0,5542.06,5862.63,0.21,320.57,5.78,86.61,Delayed,No,False,3,1
SHIP04222,2024-02-18,2024-02-19,2024-02-22,Gurugram,India,Gurugram Mfg Hub,Gurugram,Pune,Standard Route,1450,CUST032,Critical,PROD0089,Consumer Goods,General Goods,Carton,3.93,285,98.55,100.09,28086.75,144.44,55.974,13993.5,Road,Maersk,6,2.3,3.0,0.7,47.1,2.0,1.01,None,0.0,1.0,1.0,1.0,63516.15,68439.69,4.89,4923.54,7.75,1225.08,Delayed,No,False,2,0
SHIP04223,2024-04-14,2024-04-15,2024-04-19,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST044,Standard,PROD0047,Textiles,General Goods,Pallet,0.0,421,328.53,333.48,138311.13,3519.07,2.249,3519.07,Sea,MSC,10,7.1,3.9,-3.2,26.8,1.3,1.01,None,0.0,1.0,0.98,0.95,5169.43,5364.59,1.52,195.16,3.78,78.48,Early,Yes,False,4,0
SHIP04224,2023-12-24,2023-12-27,2024-01-02,Gurugram,India,Gurugram Mfg Hub,Gurugram,Los Angeles,Air/Sea Route LA,13500,CUST033,Express,PROD0074,Machinery Parts,Heavy/Bulky,Loose,1.0,1,2920.78,2911.11,2920.78,97.26,3.626,605.542,Air Cargo,MSC,9,8.8,6.5,-2.3,373.8,39.3,1.77,Minor Rain/Fog,0.0,1.3,1.15,1.1,160324.95,220162.65,363.58,59837.7,37.32,11601.2,Early,Yes,False,12,2
SHIP04225,2024-07-26,2024-07-26,2024-07-29,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST026,Standard,PROD0009,Electronics,Fragile,Carton,0.07,22,365.1,363.7,8032.2,102.53,0.08,102.53,Air Cargo,FedEx,9,3.0,3.0,0.0,493.4,7.3,1.49,Minor Rain/Fog,29.7,1.2,1.08,1.25,7942.37,9533.46,92.98,1591.09,20.03,269.53,Delivered,Yes,False,7,4
SHIP04226,2023-06-03,2023-06-04,2023-06-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST002,Critical,PROD0097,Consumer Goods,General Goods,Carton,2.11,433,84.11,82.82,36419.63,1377.74,45.768,7643.256,Air Cargo,FedEx,8,1.9,2.1,0.2,729.7,8.6,1.04,Moderate Rain/Fog,0.0,1.0,1.0,1.05,440359.92,464680.25,60.8,24320.33,5.52,13925.74,Delivered,Yes,False,6,6
SHIP04227,2023-08-05,2023-08-06,2023-08-11,Gurugram,India,Gurugram Mfg Hub,Gurugram,Pune,Standard Route,1450,CUST013,Standard,PROD0097,Consumer Goods,General Goods,Box,0.25,421,281.94,285.03,118696.74,5455.75,10.364,10364.0,Sea,MSC,6,2.3,5.0,2.7,20.1,0.8,1.0,None,0.0,1.0,1.05,1.15,9861.67,10302.74,0.99,441.07,4.47,150.64,Delayed,No,False,8,6
SHIP04228,2023-05-23,2023-05-25,2023-05-28,Gurugram,India,Gurugram Mfg Hub,Gurugram,London,Air/Sea Route LDN,6700,CUST018,Express,PROD0086,Consumer Goods,General Goods,Crate,0.04,33,148.15,150.36,4888.95,494.02,2.447,494.02,Express Air,DHL,8,2.7,3.4,0.7,558.5,22.0,1.45,Moderate Rain/Fog,27.7,1.2,0.95,0.95,196887.82,211500.81,428.12,14612.99,7.42,4790.48,Delayed,No,False,5,3
SHIP04229,2024-11-10,2024-11-12,2024-11-19,Gurugram,India,Gurugram Mfg Hub,Gurugram,Kolkata,NH 19 East,1500,CUST012,Standard,PROD0092,Consumer Goods,General Goods,Carton,1.59,476,42.73,42.27,20339.48,6301.19,37.934,37934.0,Sea,Maersk,6,2.8,7.445165831184143,4.6,24.4,0.8,1.04,None,0.0,1.0,1.2,1.15,35922.71,43903.23,1.16,7980.52,22.22,592.92,Delayed,No,False,11,1
SHIP04230,2024-11-05,2024-11-06,2024-11-09,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST025,Standard,PROD0029,Pharma,Temperature Controlled,Pallet,0.01,218,1494.94,1482.01,325896.92,44.43,1.76,293.92,Air Cargo,DHL,9,2.6,3.1,0.5,435.2,4.6,1.54,Minor Rain/Fog,26.0,1.2,1.2,1.15,15329.37,19878.03,67.63,4548.66,29.67,526.41,Delivered,Yes,False,11,2
SHIP04231,2023-03-13,2023-03-15,2023-03-20,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST043,Standard,PROD0078,Machinery Parts,Heavy/Bulky,Loose,1.0,15,948.89,954.16,14233.35,1430.58,1.146,1430.58,Sea,Maersk,9,7.4,5.0,-2.4,23.7,5.5,1.09,None,0.0,1.0,1.0,1.0,2102.13,2245.42,1.57,143.29,6.82,34.15,Early,Yes,False,3,2
SHIP04232,2024-12-17,2024-12-19,2025-02-23,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST048,Standard,PROD0042,Textiles,General Goods,Carton,1.53,77,303.36,299.06,23358.72,709.67,5.89,5890.0,Sea,MSC,10,44.7,66.4,21.7,14.5,15.8,2.06,None,0.0,1.4,1.15,1.1,38207.44,54494.61,9.25,16287.17,42.63,1211.84,Delayed,No,False,12,3
SHIP04233,2024-10-21,2024-10-21,2024-10-25,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,Western Bypass,2200,CUST049,Express,PROD0091,Consumer Goods,General Goods,Box,1.38,453,206.19,208.18,93404.07,5075.36,62.604,10454.868,Air Cargo,MSC,6,3.0,4.0,1.0,437.9,4.9,1.56,None,54.1,1.2,1.1,1.05,450113.83,556811.44,53.26,106697.61,23.7,28703.49,Delayed,No,False,10,0
SHIP04234,2023-08-09,2023-08-11,2023-08-19,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST023,Express,PROD0022,Pharma,Temperature Controlled,Loose,1.0,430,674.99,663.86,290245.7,525.11,8.513,2128.25,Road,MSC,5,2.3,8.49273936418182,6.2,22.3,7.3,1.5,None,0.0,1.2,1.05,1.15,9964.13,11754.7,5.52,1790.57,17.97,278.35,Delayed,No,False,8,4
SHIP04235,2024-06-21,2024-06-24,2024-07-23,Gurugram,India,Gurugram Mfg Hub,Gurugram,London,Air/Sea Route LDN,6700,CUST047,Standard,PROD0051,Textiles,General Goods,Crate,0.01,394,238.15,238.88,93831.1,1351.53,7.256,7256.0,Sea,MSC,10,33.0,28.6,-4.4,16.5,28.6,1.47,Moderate Rain/Fog,0.0,1.2,1.0,1.05,31367.13,35296.52,4.86,3929.39,12.53,712.95,Early,Yes,False,6,0
SHIP04236,2024-01-18,2024-01-18,2024-01-24,Gurugram,India,Gurugram Mfg Hub,Gurugram,Los Angeles,Air/Sea Route LA,13500,CUST040,Express,PROD0091,Consumer Goods,General Goods,Carton,3.49,241,46.66,47.59,11245.06,3504.03,42.028,7018.6759999999995,Air Cargo,MSC,6,8.8,5.9,-2.9,396.0,44.0,1.77,Minor Rain/Fog,0.0,1.3,1.05,1.1,1851059.7,2198406.6,313.22,347346.9,18.76,134271.7,Early,Yes,False,1,3
SHIP04237,2024-08-16,2024-08-16,2024-08-26,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST004,Standard,PROD0085,Consumer Goods,General Goods,Box,0.22,274,113.42,113.55,31077.08,1241.96,5.929,5929.0,Sea,Maersk,6,3.8,9.8,6.0,19.5,5.4,1.54,None,0.0,1.2,1.05,1.15,8427.89,10244.46,1.73,1816.57,21.55,200.66,Delayed,No,False,8,4
SHIP04238,2023-08-17,2023-08-17,2023-10-30,Gurugram,India,Gurugram Mfg Hub,Gurugram,New York,Air/Sea Route NY,12000,CUST014,Standard,PROD0054,Textiles,General Goods,Box,0.77,465,374.37,376.79,174082.05,526.97,35.67,35670.0,Sea,Maersk,10,49.9,74.4,24.5,13.9,24.6,1.74,Minor Rain/Fog,0.0,1.3,1.05,1.15,270371.22,344318.34,9.65,73947.12,27.35,7433.34,Delayed,No,False,8,3
SHIP04239,2023-01-25,2023-01-26,2023-02-16,Gurugram,India,Gurugram Mfg Hub,Gurugram,Shanghai,Air/Sea Route SHA,4500,CUST021,Standard,PROD0053,Textiles,General Goods,Pallet,0.05,359,175.65,173.74,63058.35,2646.03,25.165,25165.0,Sea,MSC,10,16.0,20.7,4.7,17.4,12.5,1.45,None,43.6,1.2,1.05,1.1,73975.8,85808.35,3.41,11832.55,16.0,1639.18,Delayed,No,False,1,3
SHIP04240,2024-05-06,2024-05-09,2024-05-16,Gurugram,India,Gurugram Mfg Hub,Gurugram,New York,Air/Sea Route NY,12000,CUST035,Express,PROD0018,Electronics,Fragile,Box,0.12,296,4839.92,4836.18,1432616.32,1085.96,3.667,1085.96,Air Cargo,MSC,4,7.6,6.8,-0.8,477.8,22.4,1.74,None,88.0,1.3,0.95,0.95,251584.05,282198.62,259.86,30614.57,12.17,18112.82,Early,Yes,False,5,3
SHIP04241,2023-08-01,2023-08-02,2023-08-04,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,Western Bypass,2200,CUST001,Critical,PROD0018,Electronics,Fragile,Pallet,0.01,19,416.76,412.89,7918.44,69.07,0.392,78.4,Express Air,DHL,10,2.3,1.6,-0.7,688.1,5.7,1.52,None,0.0,1.2,1.05,1.15,13005.9,14865.33,189.61,1859.43,14.3,262.81,Early,Yes,False,8,2
SHIP04242,2024-02-14,2024-02-15,2024-02-18,Gurugram,India,Gurugram Mfg Hub,Gurugram,Kolkata,NH 19 East,1500,CUST045,Critical,PROD0041,Textiles,General Goods,Box,0.6,355,364.03,363.0,129230.65,675.02,21.341,3563.947,Air Cargo,DHL,7,1.3,3.2,1.9,668.5,3.0,1.05,None,49.1,1.0,1.0,1.0,143656.42,278015.35,78.01,134358.93,93.53,4510.45,Delayed,No,True,2,3
SHIP04243,2023-04-19,2023-04-20,2023-04-26,Gurugram,India,Gurugram Mfg Hub,Gurugram,Kolkata,NH 19 East,1500,CUST017,Standard,PROD0053,Textiles,General Goods,Crate,0.01,255,98.23,98.93,25048.65,1315.86,6.19,6190.0,Sea,MSC,10,2.9,6.5,3.6,22.6,2.7,1.0,None,59.9,1.0,0.98,0.95,6092.68,6180.42,1.0,87.74,1.44,93.0,Delayed,No,False,4,3
SHIP04244,2024-05-04,2024-05-06,2024-06-01,Gurugram,India,Gurugram Mfg Hub,Gurugram,London,Air/Sea Route LDN,6700,CUST037,Standard,PROD0043,Textiles,General Goods,Pallet,0.02,84,320.41,320.68,26914.44,217.38,2.161,2161.0,Sea,MSC,10,33.1,26.3,-6.8,16.3,8.6,1.56,Minor Rain/Fog,0.0,1.2,0.95,0.95,9576.63,10703.34,4.95,1126.71,11.77,226.35,Early,Yes,False,5,0
SHIP04245,2023-03-12,2023-03-15,2023-03-22,Gurugram,India,Gurugram Mfg Hub,Gurugram,Singapore,Air/Sea Route SIN,4000,CUST040,Standard,PROD0070,Machinery Parts,Heavy/Bulky,Box,36.51,3,500.77,493.72,1502.31,1246.48,10.953,10953.0,Sea,Maersk,9,11.4,7.3,-4.1,27.2,7.1,1.07,None,0.0,1.0,1.0,1.0,27749.69,30278.32,2.76,2528.63,9.11,470.68,Early,Yes,False,3,2
SHIP04246,2023-09-09,2023-09-10,2023-09-12,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST047,Express,PROD0046,Textiles,General Goods,Carton,0.47,322,209.93,212.24,67597.46,727.33,7.488,1872.0,Road,Maersk,10,1.5,2.2,0.7,41.1,1.2,1.06,None,0.0,1.0,1.0,1.0,4760.99,4720.28,2.52,-40.71,-0.86,94.95,Delayed,No,False,9,6
SHIP04247,2023-01-23,2023-01-24,2023-02-01,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST012,Standard,PROD0089,Consumer Goods,General Goods,Pallet,0.12,412,163.19,160.85,67234.28,2226.43,73.824,73824.0,Sea,MSC,6,2.9,8.0,5.1,19.2,4.2,1.55,None,22.1,1.2,1.05,1.1,70136.36,84775.39,1.15,14639.03,20.87,1655.41,Delayed,No,False,1,1
SHIP04248,2024-03-21,2024-03-22,2024-03-26,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST022,Standard,PROD0089,Consumer Goods,General Goods,Pallet,0.02,251,183.97,186.9,46176.47,1167.29,7.795,7795.0,Sea,Maersk,6,7.5,4.3,-3.2,27.5,3.3,1.07,None,0.0,1.0,1.0,1.0,10991.75,11625.01,1.49,633.26,5.76,183.22,Early,Yes,False,3,4
SHIP04249,2023-12-29,2023-12-29,2023-12-31,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,Western Bypass,2200,CUST017,Critical,PROD0081,Consumer Goods,General Goods,Box,0.11,256,38.87,38.84,9950.72,1487.5,2.752,1487.5,Air Cargo,Maersk,6,2.3,2.4,0.1,478.9,5.6,1.46,None,7.1,1.2,1.15,1.1,61968.14,81847.58,55.02,19879.44,32.08,3823.26,Delivered,Yes,False,12,4
SHIP04250,2024-05-07,2024-05-07,2024-05-12,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST007,Standard,PROD0090,Consumer Goods,General Goods,Pallet,0.1,80,106.98,107.79,8558.4,886.77,11.691,11691.0,Sea,Maersk,6,7.2,5.3,-1.9,20.6,4.8,1.0,None,0.0,1.0,0.95,0.95,16446.77,16469.06,1.41,22.29,0.14,258.0,Early,Yes,False,5,1
SHIP04251,2024-03-15,2024-03-17,2024-04-12,Gurugram,India,Gurugram Mfg Hub,Gurugram,London,Air/Sea Route LDN,6700,CUST028,Standard,PROD0088,Consumer Goods,General Goods,Carton,1.15,365,264.22,266.56,96440.3,1620.0,21.04,21040.0,Sea,Maersk,6,33.4,26.5,-6.9,17.7,14.0,1.55,None,16.1,1.2,1.0,1.0,88792.71,98015.91,4.66,9223.2,10.39,2190.41,Early,Yes,False,3,6
SHIP04252,2023-10-05,2023-10-07,2023-10-08,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,East Coast detour,2350,CUST040,Critical,PROD0045,Textiles,General Goods,Carton,1.9,194,348.7,351.33,67647.8,798.53,18.411,3074.637,Air Cargo,Maersk,10,4.1,1.2,-2.9,423.2,4.4,2.11,None,0.0,1.4,1.1,1.05,135624.01,201952.17,65.68,66328.16,48.91,12212.36,Early,Yes,False,10,5
SHIP04253,2023-09-17,2023-09-18,2023-09-20,Gurugram,India,Gurugram Mfg Hub,Gurugram,Kolkata,NH 19 East,1500,CUST033,Standard,PROD0025,Pharma,Temperature Controlled,Carton,0.08,268,1226.1,1229.67,328594.8,92.48,1.06,177.02,Air Cargo,DHL,9,1.7,1.6,-0.1,671.7,1.8,1.0,None,0.0,1.0,1.0,1.0,9641.85,9828.23,55.52,186.38,1.93,213.38,Delivered,Yes,False,9,0
SHIP04254,2023-02-03,2023-02-04,2023-02-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST008,Express,PROD0082,Consumer Goods,General Goods,Loose,1.0,403,206.02,207.6,83026.06,4913.24,73.032,18258.0,Road,DHL,8,1.3,1.8,0.5,33.9,1.0,1.08,None,0.0,1.0,1.0,1.0,66243.06,68255.86,3.74,2012.8,3.04,946.92,Delivered,Yes,False,2,5
SHIP04255,2023-05-13,2023-05-15,2023-05-21,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST028,Standard,PROD0095,Consumer Goods,General Goods,Carton,1.81,101,140.63,139.17,14203.63,1478.08,9.127,9127.0,Sea,MSC,6,6.8,6.0,-0.8,20.2,12.4,1.0,Moderate Rain/Fog,0.0,1.0,0.95,0.95,13203.65,13069.62,1.43,-134.03,-1.02,201.23,Early,Yes,False,5,0
SHIP04256,2024-03-03,2024-03-04,2024-03-24,Gurugram,India,Gurugram Mfg Hub,Gurugram,Tokyo,Air/Sea Route TYO,5800,CUST006,Standard,PROD0011,Electronics,Fragile,Pallet,0.01,428,573.75,573.11,245565.0,680.68,7.17,7170.0,Sea,Maersk,4,17.8,20.5,2.7,17.1,4.2,1.24,None,52.9,1.1,1.0,1.0,26487.29,27250.36,3.8,763.07,2.88,513.86,Delayed,No,False,3,0
SHIP04257,2023-08-30,2023-08-30,2023-09-05,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST001,Express,PROD0004,Electronics,Fragile,Carton,0.85,280,4377.35,4427.18,1225658.0,925.54,11.933,2983.25,Road,Maersk,4,3.1,5.8,2.7,22.3,4.7,1.51,None,0.0,1.2,1.05,1.15,13520.96,16265.46,5.45,2744.5,20.3,391.47,Delayed,No,False,8,2
SHIP04258,2024-03-11,2024-03-11,2024-03-16,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST001,Standard,PROD0060,Textiles,General Goods,Carton,1.02,11,33.8,33.33,371.8,12.73,0.563,94.02099999999999,Air Cargo,FedEx,7,2.5,5.2,2.7,358.8,13.2,1.55,Moderate Rain/Fog,81.2,1.2,1.0,1.0,9159.24,9902.18,105.32,742.94,8.11,256.1,Delayed,No,False,3,0
SHIP04259,2024-05-18,2024-05-19,2024-05-22,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST002,Critical,PROD0100,Consumer Goods,General Goods,Loose,1.0,118,53.4,54.1,6301.2,1248.83,2.492,1248.83,Air Cargo,FedEx,8,2.7,2.8,0.1,553.4,9.8,1.22,Minor Rain/Fog,13.8,1.1,0.95,0.95,211157.02,210427.02,168.5,-730.0,-0.35,7911.82,Delivered,Yes,False,5,6
SHIP04260,2024-03-07,2024-03-10,2024-03-22,Gurugram,India,Gurugram Mfg Hub,Gurugram,Singapore,Air/Sea Route SIN,4000,CUST022,Standard,PROD0089,Consumer Goods,General Goods,Pallet,0.1,226,121.15,119.25,27379.9,1199.42,32.612,32612.000000000004,Sea,Maersk,6,11.3,12.0,0.7,22.3,7.5,1.07,None,62.1,1.0,1.0,1.0,81938.42,89312.41,2.74,7373.99,9.0,1393.1,Delayed,No,False,3,6
SHIP04261,2023-10-11,2023-10-11,2023-11-02,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST033,Standard,PROD0007,Electronics,Fragile,Pallet,0.01,416,4275.68,4343.72,1778682.88,1376.7,7.94,7940.0,Sea,Maersk,4,30.2,21.6,-8.6,18.9,15.9,1.29,None,11.2,1.1,1.1,1.05,32460.22,38067.82,4.79,5607.6,17.28,666.13,Early,Yes,False,10,2
SHIP04262,2024-05-19,2024-05-19,2024-05-20,Gurugram,India,Gurugram Mfg Hub,Gurugram,Singapore,Air/Sea Route SIN,4000,CUST043,Standard,PROD0027,Pharma,Temperature Controlled,Box,0.15,496,995.45,979.13,493743.2,339.83,7.208,1203.736,Air Cargo,Maersk,5,3.3,1.1,-2.2,820.6,4.4,1.05,Minor Rain/Fog,5.8,1.0,0.95,0.95,90374.24,86738.5,72.06,-3635.74,-4.02,4062.82,Early,Yes,False,5,6
SHIP04263,2023-02-02,2023-02-03,2023-02-08,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST007,Express,PROD0041,Textiles,General Goods,Box,0.72,88,481.27,473.58,42351.76,778.08,6.324,1581.0,Road,Maersk,10,2.9,4.7,1.8,31.4,7.3,1.47,None,0.0,1.2,1.0,1.0,7221.68,8335.86,5.27,1114.18,15.43,202.17,Delayed,No,False,2,4
SHIP04264,2023-07-27,2023-07-27,2023-07-29,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Agra-Indore,1500,CUST009,Express,PROD0010,Electronics,Fragile,Loose,1.0,322,4970.22,4891.03,1600410.84,883.1,6.034,1007.678,Air Cargo,Maersk,4,3.6,2.2,-1.4,449.1,5.4,1.71,Minor Rain/Fog,0.0,1.3,1.08,1.25,28820.12,35009.21,34.74,6189.09,21.47,2072.22,Early,Yes,False,7,3
SHIP04265,2023-06-18,2023-06-19,2023-06-27,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST050,Express,PROD0047,Textiles,General Goods,Crate,0.04,241,168.38,169.29,40579.58,1520.92,16.894,4223.5,Road,Maersk,10,3.0,8.2,5.2,25.0,8.0,1.49,Minor Rain/Fog,80.0,1.2,1.0,1.05,19280.11,22201.89,5.26,2921.78,15.15,548.33,Delayed,No,False,6,0
SHIP04266,2023-05-05,2023-05-06,2023-07-29,Gurugram,India,Gurugram Mfg Hub,Gurugram,Los Angeles,Air/Sea Route LA,13500,CUST002,Standard,PROD0090,Consumer Goods,General Goods,Carton,3.25,257,21.81,21.86,5605.17,2495.25,41.797,41797.0,Sea,MSC,6,50.6,83.5,32.9,11.7,33.5,1.71,Minor Rain/Fog,81.8,1.3,0.95,0.95,367949.7,431666.89,10.33,63717.19,17.32,9670.5,Delayed,No,False,5,5
SHIP04267,2024-10-24,2024-10-26,2024-10-29,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST018,Standard,PROD0028,Pharma,Temperature Controlled,Pallet,0.01,481,831.55,817.25,399975.55,97.29,4.85,1212.5,Road,MSC,5,2.2,2.8,0.6,31.9,10.3,1.04,Severe Weather,0.0,1.0,1.1,1.05,3140.49,3508.98,2.89,368.49,11.73,60.53,Delayed,No,False,10,5
SHIP04268,2023-11-04,2023-11-04,2023-11-23,Gurugram,India,Gurugram Mfg Hub,Gurugram,Shanghai,Air/Sea Route SHA,4500,CUST017,Standard,PROD0096,Consumer Goods,General Goods,Pallet,0.12,260,291.18,289.93,75706.8,1970.4,46.575,46575.0,Sea,Maersk,6,16.3,19.1,2.8,17.8,11.1,1.48,None,0.0,1.2,1.2,1.15,131600.78,189091.89,4.06,57491.11,43.69,3105.17,Delayed,No,False,11,5
SHIP04269,2024-11-06,2024-11-07,2024-12-01,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,East Coast detour,2350,CUST019,Standard,PROD0081,Consumer Goods,General Goods,Carton,3.59,312,110.47,109.96,34466.64,522.22,55.968,55968.0,Sea,Maersk,6,4.1,24.3,20.2,12.8,9.0,2.14,None,93.9,1.4,1.2,1.15,82867.93,119643.53,2.14,36775.6,44.38,2811.88,Delayed,No,False,11,3
SHIP04270,2023-04-22,2023-04-23,2023-05-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,Tokyo,Air/Sea Route TYO,5800,CUST028,Standard,PROD0047,Textiles,General Goods,Loose,1.0,394,232.01,227.65,91411.94,1445.69,25.513,25513.0,Sea,Maersk,10,18.0,13.4,-4.6,23.6,6.0,1.3,None,0.0,1.1,0.98,0.95,92827.65,103301.33,4.05,10473.68,11.28,1924.37,Early,Yes,False,4,6
SHIP04271,2023-04-05,2023-04-08,2023-04-10,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST013,Express,PROD0046,Textiles,General Goods,Pallet,0.01,33,308.6,308.75,10183.8,326.62,0.364,326.62,Express Air,DHL,7,1.0,1.5,0.5,796.8,1.9,1.02,Minor Rain/Fog,0.0,1.0,0.98,0.95,15726.03,16184.81,49.55,458.78,2.92,267.05,Delivered,Yes,False,4,5
SHIP04272,2024-05-08,2024-05-08,2024-05-09,Gurugram,India,Gurugram Mfg Hub,Gurugram,Pune,Standard Route,1450,CUST036,Express,PROD0096,Consumer Goods,General Goods,Carton,0.65,23,53.25,53.55,1224.75,228.64,0.742,228.64,Express Air,FedEx,8,1.7,1.0,-0.7,1088.2,1.5,1.01,None,0.0,1.0,0.95,0.95,19475.04,19177.74,83.88,-297.3,-1.53,335.26,Early,Yes,False,5,2
SHIP04273,2024-02-09,2024-02-11,2024-02-17,Gurugram,India,Gurugram Mfg Hub,Gurugram,Pune,Standard Route,1450,CUST046,Standard,PROD0096,Consumer Goods,General Goods,Carton,2.5,311,210.38,206.37,65428.18,1154.89,38.816,38816.0,Sea,Maersk,6,2.7,6.3,3.6,23.8,1.7,1.1,Minor Rain/Fog,45.6,1.0,1.0,1.0,35254.22,35259.62,0.91,5.4,0.02,617.47,Delayed,No,False,2,6
SHIP04274,2024-08-09,2024-08-12,2024-08-18,Gurugram,India,Gurugram Mfg Hub,Gurugram,Los Angeles,Air/Sea Route LA,13500,CUST048,Express,PROD0052,Textiles,General Goods,Box,0.64,95,425.24,423.99,40397.8,193.86,6.102,1019.0340000000001,Air Cargo,Maersk,10,8.6,5.5,-3.1,418.4,28.8,1.79,Moderate Rain/Fog,0.0,1.3,1.05,1.15,262396.53,339225.68,332.89,76829.15,29.28,19692.15,Early,Yes,False,8,0
